체결시각,현재가격,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:00-031393],10739,1998,,3 000105, ,, 000109
[09:00:01-116609],10739,100,00010739,00010738,2,0014688,0012783
[09:00:01-119841],10739,100,00010739,00010738,2,0014588,0012783
[09:00:01-121390],10739,100,00010739,00010738,2,0014488,0012783
[09:00:01-131029],10739,20,00010739,00010738,2,0014468,0012783
[09:00:01-159138],10738,100,00010739,00010738,1,0014468,0012683
[09:00:01-200426],10738,3,00010739,00010738,1,0014468,0012680
[09:00:01-234824],10739,64,00010739,00010738,2,0014334,0012680
[09:00:01-245729],10739,38,00010739,00010738,2,0014296,0012680
[09:00:01-802918],10739,50,00010739,00010738,2,0014246,0012680
[09:00:01-991401],10739,250,00010739,00010738,2,0014011,0012680
[09:00:02-398655],10739,224,00010740,00010739,2,0013908,0012709
[09:00:04-976573],10739,29,00010739,00010738,1,0015222,0012763
[09:00:10-086475],10738,25,00010739,00010738,1,0013843,0012729
[09:00:10-087278],10738,6,00010739,00010738,1,0013843,0012723
[09:00:10-088526],10738,25,00010739,00010738,1,0013843,0012698
[09:00:10-090143],10738,25,00010739,00010738,1,0013843,0012673
[09:00:10-091248],10738,1,00010739,00010738,1,0013843,0012672
[09:00:10-096338],10738,50,00010739,00010738,1,0013843,0012619
[09:00:10-097600],10738,3,00010739,00010738,1,0013843,0012616
[09:00:10-101089],10738,6,00010739,00010738,1,0013843,0012610
[09:00:10-114566],10738,6,,1 000106,1,, 000107
[09:00:13-007112],10738,10,00010738,00010737,2,0014162,0012547
[09:00:13-252674],10737,100,00010738,00010737,1,0014162,0012447
[09:00:13-837552],10737,25,00010738,00010737,1,0014165,0012422
[09:00:13-940369],10737,5,00010738,00010736,1,0014165,0012414
[09:00:13-947407],10737,8,00010738,00010737,2,0014165,0012419
[09:00:13-999773],10737,2,00010737,00010736,1,0014174,0012417
[09:00:14-002474],10737,8,00010737,00010736,2,0014166,0012417
[09:00:14-004534],10737,1,00010738,00010736,2,0014165,0012417
[09:00:14-765004],10737,6,00010738,00010737,2,0014165,0012431
[09:00:15-844959],10737,100,00010738,00010737,1,0014053,0012447
[09:00:16-233407],10737,43,00010737,00010736,1,0014310,0012417
[09:00:16-860729],10737,100,00010737,00010736,2,0014229,0012417
[09:00:18-968156],10737,1,00010737,00010736,2,0014840,0012494
[09:00:19-834102],10737,50,00010737,00010736,2,0015281,0012524
[09:00:20-958474],10737,30,00010737,00010736,2,0015251,0012557
[09:00:21-379125],10736,13,00010737,00010736,1,0015238,0012544
[09:00:27-727930],10737,186,00010738,00010737,2,0015054,0012820
[09:00:33-121101],10737,5,00010738,00010737,1,0015068,0012912
[09:00:36-264060],10737,50,00010738,00010737,1,0015098,0012986
[09:00:39-124239],10738,147,00010739,00010738,2,0014849,0013239
[09:00:42-334308],10738,155,00010738,00010737,1,0014528,0013209
