체결시각,현재가격,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:00-025448],10766,666,,0 000106, ,, 000109
[09:00:02-196698],10766,2,00010766,00010765,2,0010352,0010521
[09:00:02-200092],10766,7,00010766,00010765,2,0010345,0010524
[09:00:02-202680],10766,1,00010766,00010765,2,0010344,0010524
[09:00:02-204027],10766,3,00010766,00010765,2,0010341,0010524
[09:00:06-110182],10766,64,,9 000107,2,, 000108
[09:00:06-110521],10767,136,00010767,00010765,2,0010141,0010542
[09:00:10-043339],10766,2,00010767,00010766,1,0009644,0011303
[09:00:10-531878],10766,37,00010767,00010766,1,0009607,0011266
[09:00:10-703532],10767,59,00010767,00010766,2,0009548,0011283
[09:00:11-455801],10766,50,00010767,00010766,1,0009548,0011233
[09:00:12-571821],10766,25,00010767,00010766,1,0009548,0011207
[09:00:12-574272],10766,6,00010767,00010766,1,0009548,0011201
[09:00:12-577999],10766,25,00010767,00010766,1,0009548,0011176
[09:00:12-580532],10766,25,00010767,00010766,1,0009548,0011148
[09:00:12-581850],10766,6,00010767,00010766,1,0009548,0011142
[09:00:12-583301],10766,50,00010767,00010766,1,0009548,0011092
[09:00:12-584551],10766,6,00010767,00010766,1,0009548,0011086
[09:00:12-592836],10766,6,00010767,00010766,1,0009548,0011080
[09:00:13-568070],10766,47,00010766,00010765,1,0009651,0011033
[09:00:13-714733],10766,1,00010766,00010765,2,0009656,0011033
[09:00:13-719817],10766,1,00010766,00010765,2,0009655,0011033
[09:00:14-234852],10766,45,00010766,00010765,2,0009610,0011036
[09:00:32-599978],10766,5,00010766,00010765,2,0010171,0012215
[09:00:32-882169],10765,100,00010766,00010765,1,0010171,0012115
[09:00:39-453421],10765,50,00010766,00010765,1,0010152,0012265
[09:00:39-916416],10765,2,00010766,00010765,1,0010152,0012313
[09:00:40-813441],10766,1,00010766,00010765,2,0010151,0012313
[09:00:46-357406],10766,30,00010766,00010765,2,0010121,0012313
[09:00:47-689438],10766,200,00010766,00010765,2,0010021,0012263
[09:00:47-691456],10766,8,00010766,00010765,2,0010010,0012263
[09:00:47-694953],10766,100,00010766,00010765,2,0009910,0012263
[09:00:48-558210],10766,21,00010766,00010765,2,0009889,0012253
[09:00:48-641276],10766,150,00010766,00010765,2,0009739,0012253
[09:00:48-643113],10766,1,00010766,00010765,2,0009738,0012253
[09:00:48-644846],10766,8,00010766,00010765,2,0009730,0012253
[09:00:48-646356],10766,19,00010766,00010765,2,0009711,0012253
[09:00:48-650787],10766,50,00010766,00010765,2,0009661,0012253
[09:00:48-651992],10766,106,,9 000107,2,, 000108
[09:00:48-955466],10766,4,00010766,00010765,1,0009651,0012253
[09:00:49-114677],10766,50,00010766,00010765,2,0009763,0012253
[09:00:50-013652],10766,84,00010766,00010765,2,0009679,0012392
[09:00:50-014592],10766,33,00010766,00010765,2,0009646,0012392
[09:00:50-030866],10766,31,00010766,00010765,2,0009612,0012441
[09:00:50-068630],10766,28,00010766,00010765,2,0009584,0012441
[09:00:50-070846],10766,19,00010766,00010765,2,0009565,0012441
[09:00:50-071117],10766,3,,9 000107,2,, 000108
[09:00:50-794021],10766,5,00010767,00010766,1,0009650,0012536
[09:00:55-221431],10767,1,00010767,00010766,2,0009799,0012635
[09:00:55-314873],10767,10,00010767,00010766,2,0009789,0012635
[09:01:03-077018],10766,37,00010767,00010766,1,0009857,0012716
[09:01:03-765554],10766,6,00010767,00010766,1,0009857,0012710
[09:01:03-771695],10766,100,00010767,00010766,1,0009857,0012610
[09:01:03-779311],10766,8,00010767,00010766,1,0009857,0012602
[09:01:03-780465],10766,16,00010767,00010766,1,0009857,0012586
[09:01:03-781760],10766,100,00010767,00010766,1,0009857,0012486
[09:01:03-783028],10766,29,00010767,00010766,1,0009857,0012457
[09:01:03-784128],10766,1,00010767,00010766,1,0009857,0012456
[09:01:03-785499],10766,30,,9 000107,1,, 000108
[09:01:05-667307],10766,30,00010766,00010765,2,0010157,0012442
[09:01:14-780545],10765,18,00010766,00010765,1,0010599,0012160
[09:01:19-412860],10766,50,00010766,00010765,2,0010459,0012993
[09:01:19-427921],10766,6,00010766,00010765,2,0010453,0012993
[09:01:19-432990],10766,4,00010766,00010765,2,0010446,0012993
[09:01:19-436843],10766,100,00010766,00010765,2,0010270,0012993
[09:01:19-437914],10766,6,00010766,00010765,2,0010264,0012993
[09:01:19-442894],10766,5,00010766,00010765,2,0010259,0012993
[09:01:19-448046],10766,6,00010766,00010765,2,0010253,0012993
[09:01:19-452193],10766,50,00010766,00010765,2,0010203,0012993
[09:01:19-453582],10766,25,00010766,00010765,2,0010178,0012993
[09:01:19-458664],10766,5,00010766,00010765,2,0010173,0013011
[09:01:19-462158],10766,11,00010766,00010765,2,0010162,0013011
[09:01:19-466959],10766,18,00010766,00010765,2,0010144,0013011
[09:01:19-468617],10766,18,00010766,00010765,2,0010126,0013011
[09:01:19-471008],10766,3,00010766,00010765,2,0010123,0013011
[09:01:19-472270],10766,2,00010766,00010765,2,0010121,0013011
[09:01:19-475139],10766,14,00010766,00010765,2,0010095,0013011
[09:01:19-500396],10766,22,00010766,00010765,2,0010073,0013011
[09:01:19-503221],10766,5,00010766,00010765,2,0010068,0013011
[09:01:19-504172],10766,6,,9 000107,2,, 000108
[09:01:23-855422],10766,100,00010767,00010766,1,0010146,0013306
[09:01:27-543521],10766,30,00010767,00010766,1,0010146,0013676
[09:01:27-545414],10766,65,00010767,00010765,1,0010146,0013611
[09:01:29-343859],10766,37,00010767,00010766,1,0010109,0013604
[09:01:30-123785],10766,35,00010767,00010766,1,0010109,0013569
[09:01:30-126521],10766,58,00010767,00010765,1,0010109,0013511
[09:01:31-004277],10766,3,00010767,00010766,2,0010109,0013518
[09:01:31-060201],10766,7,00010767,00010765,1,0010109,0013511
[09:01:32-470886],10766,20,00010766,00010765,2,0010139,0013511
[09:01:33-810034],10766,50,00010766,00010765,2,0010190,0013511
[09:01:34-652244],10766,10,00010766,00010765,2,0010180,0013511
[09:01:36-004248],10766,5,00010766,00010765,2,0010225,0013511
[09:02:19-505592],10765,11,00010766,00010765,1,0011042,0013602
[09:02:19-513938],10765,3,00010766,00010765,1,0011042,0013599
[09:02:19-518195],10765,6,00010766,00010765,1,0011042,0013593
[09:02:19-520496],10765,3,00010766,00010765,1,0011042,0013590
[09:02:21-472090],10766,10,00010766,00010765,2,0011042,0013591
[09:02:28-023777],10765,100,00010766,00010765,1,0011057,0013587
[09:02:36-054014],10765,200,00010766,00010765,1,0011052,0013387
[09:02:36-063092],10765,679,00010765,00010764,1,0011373,0012601
