체결시각,현재가격,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:00-030849],10747,2903,,3 000105, ,, 000109
[09:00:01-090882],10745,1,00010747,00010745,1,0011467,0013833
[09:00:02-276686],10746,3,00010747,00010745,2,0011843,0013536
[09:00:02-686589],10745,50,00010747,00010745,1,0011790,0013536
[09:00:03-234146],10747,100,00010747,00010745,2,0011793,0014146
[09:00:03-725680],10747,300,00010747,00010746,2,0011493,0014246
[09:00:08-136434],10746,10,00010747,00010746,1,0011587,0014393
[09:00:08-138337],10746,3,00010747,00010746,1,0011587,0014390
[09:00:19-653320],10746,20,00010747,00010746,1,0012568,0014507
[09:00:20-492538],10746,10,00010747,00010746,1,0012598,0014490
[09:00:21-467967],10746,20,00010747,00010746,1,0012598,0014413
[09:00:21-548387],10747,500,00010747,00010746,2,0012098,0014413
[09:00:24-274735],10747,100,00010747,00010746,2,0012010,0014416
[09:00:26-157232],10747,10,00010747,00010746,2,0011910,0014466
[09:00:26-682666],10747,10,00010747,00010746,2,0011904,0014666
[09:00:27-934946],10747,13,00010748,00010747,2,0011896,0015203
[09:00:27-939420],10747,1,00010748,00010747,1,0011899,0015208
[09:00:27-940636],10747,25,00010748,00010747,1,0011899,0015183
[09:00:27-942117],10747,6,00010748,00010747,1,0011899,0015177
[09:00:27-943111],10747,25,00010748,00010747,1,0011899,0015152
[09:00:27-945620],10747,25,00010748,00010747,1,0011899,0015127
[09:00:28-022002],10747,36,00010748,00010747,1,0011899,0015091
[09:00:28-206480],10747,5,00010748,00010747,1,0011899,0015196
[09:00:28-299692],10747,20,00010748,00010747,1,0011899,0015176
[09:00:28-333370],10747,5,00010748,00010747,1,0011899,0015171
[09:00:28-472790],10747,5,00010748,00010747,1,0011899,0015166
[09:00:28-561058],10747,5,00010748,00010747,1,0011899,0015161
[09:00:31-766843],10747,20,00010748,00010747,1,0011899,0015271
[09:00:33-358316],10747,6,00010748,00010747,1,0012303,0015265
[09:00:33-361930],10747,36,00010748,00010747,1,0012374,0015229
[09:00:34-636682],10747,107,00010748,00010747,1,0012494,0015122
[09:00:34-638373],10747,1,00010748,00010747,1,0012494,0015121
[09:00:34-638789],10747,6,00010748,00010747,1,0012494,0015115
[09:00:34-640179],10747,126,00010748,00010747,1,0012494,0014989
[09:00:34-642529],10747,156,00010748,00010747,1,0012494,0014830
[09:00:34-645300],10747,50,00010748,00010747,1,0012494,0014780
[09:00:34-647295],10747,6,00010748,00010747,1,0012494,0014774
[09:00:35-999352],10747,30,00010748,00010747,1,0012506,0014747
[09:00:36-758893],10747,48,00010747,00010746,1,0012508,0014696
[09:00:36-867702],10747,2,00010748,00010746,2,0012506,0014774
[09:00:38-310827],10747,5,00010747,00010746,2,0012603,0014774
[09:00:40-015664],10747,3,00010747,00010746,2,0012600,0014674
[09:00:41-085960],10747,10,00010747,00010746,2,0012590,0014674
[09:00:41-087877],10747,82,00010748,00010746,2,0012508,0014674
[09:00:48-816921],10747,10,00010747,00010746,2,0012812,0014458
[09:00:48-820122],10747,3,00010747,00010746,2,0012809,0014458
[09:01:15-036812],10747,10,00010747,00010746,2,0014176,0013359
[09:01:16-248237],10747,10,00010747,00010746,2,0014072,0013109
[09:01:25-839143],10746,2,00010747,00010746,1,0014082,0013607
[09:01:29-444691],10746,10,00010747,00010746,1,0014082,0013607
[09:01:30-796818],10746,30,00010747,00010746,1,0014182,0013577
[09:01:34-748333],10746,50,00010747,00010746,1,0014259,0013680
[09:01:35-913956],10746,200,00010747,00010746,1,0014259,0013480
[09:01:35-915687],10746,1,00010747,00010746,1,0014259,0013479
[09:01:36-515700],10746,10,00010747,00010746,1,0014249,0013469
[09:01:36-709927],10746,50,00010747,00010746,1,0014249,0013419
[09:01:37-256638],10746,100,00010747,00010746,1,0014249,0013379
[09:01:37-349454],10746,60,00010747,00010746,1,0014189,0013319
[09:01:37-352023],10746,10,00010747,00010746,1,0014189,0013309
[09:01:37-352374],10746,1,00010747,00010746,1,0014189,0013308
[09:01:37-354158],10746,84,00010747,00010746,1,0014189,0013224
[09:01:37-356239],10746,12,00010746,00010745,1,0014284,0013212
[09:01:42-925294],10745,5,00010746,00010745,1,0014433,0013657
[09:01:53-269085],10746,50,00010746,00010745,2,0014540,0013821
[09:01:53-270722],10746,12,00010746,00010745,2,0014528,0013821
[09:01:53-275505],10746,3,00010746,00010745,2,0014525,0013821
[09:01:53-278127],10746,7,00010746,00010745,2,0014518,0013821
[09:01:53-279250],10746,1,00010746,00010745,2,0014517,0013821
[09:01:55-745674],10746,172,00010746,00010745,2,0014393,0013844
[09:01:55-770833],10746,1,00010746,00010745,2,0014392,0013844
[09:01:55-776842],10746,1,00010746,00010745,2,0014388,0013869
[09:01:55-777805],10746,160,,9 000106,2,, 000107
[09:01:56-724322],10746,3,00010747,00010745,2,0014314,0013868
[09:01:56-793977],10746,3,00010747,00010745,2,0014324,0013859
[09:01:56-932459],10746,10,00010747,00010746,1,0014334,0013926
[09:02:01-648225],10746,5,00010747,00010746,1,0014289,0014074
[09:02:10-656306],10746,242,00010746,00010745,1,0014437,0013795
[09:02:13-573030],10746,195,,9 000106,2,, 000107
[09:02:13-574047],10747,205,00010747,00010745,2,0014126,0013796
[09:02:18-684107],10747,500,00010747,00010746,2,0013833,0014466
[09:02:18-692943],10747,1,00010747,00010746,2,0013829,0014491
[09:02:18-696631],10747,1,00010747,00010746,2,0013828,0014491
[09:02:18-699238],10747,2,00010747,00010746,2,0013826,0014491
[09:02:18-700464],10747,1,00010747,00010746,2,0013825,0014491
[09:02:18-704156],10747,1,00010747,00010746,2,0013824,0014491
[09:02:19-757163],10747,35,00010748,00010746,2,0013789,0014493
[09:02:19-769698],10747,2,00010748,00010747,1,0013789,0014498
[09:02:23-509203],10747,56,00010747,00010746,1,0014262,0014589
[09:02:23-729682],10747,22,00010747,00010746,2,0014264,0014589
[09:02:23-735425],10747,6,00010747,00010746,2,0014258,0014589
[09:02:23-745459],10747,3,00010747,00010746,2,0014255,0014589
[09:02:23-766692],10747,1,00010747,00010746,2,0014254,0014589
[09:02:24-204857],10747,41,00010748,00010747,2,0014213,0014648
[09:02:25-540106],10747,62,00010747,00010746,1,0014227,0014589
[09:02:43-826616],10746,10,00010747,00010746,1,0014696,0014365
[09:02:52-574692],10746,5,00010747,00010746,1,0014847,0014375
