체결시각,현재가격,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:00-028567],10749,1471,,8 000105, ,, 000109
[09:00:01-579765],10750,50,00010750,00010749,2,0010350,0009808
[09:00:01-795363],10750,55,00010750,00010749,2,0010295,0009808
[09:00:11-200737],10750,100,00010750,00010749,2,0010564,0009933
[09:00:15-570738],10750,300,00010750,00010749,2,0010355,0010063
[09:00:15-572339],10750,25,00010750,00010749,2,0010327,0010063
[09:00:21-881888],10749,20,00010750,00010749,1,0010532,0010013
[09:00:23-654079],10749,70,00010750,00010749,1,0010498,0009893
[09:00:25-567584],10749,100,00010750,00010749,1,0010701,0009840
[09:00:25-569348],10749,10,00010750,00010749,1,0010701,0009830
[09:00:25-571823],10749,25,00010750,00010749,1,0010701,0009805
[09:00:25-573205],10749,6,00010750,00010749,1,0010701,0009799
[09:00:25-575629],10749,25,00010750,00010749,1,0010701,0009774
[09:00:25-581912],10749,46,00010750,00010749,1,0010701,0009728
[09:00:25-583427],10749,3,00010750,00010749,1,0010701,0009725
[09:00:25-584425],10749,1,00010750,00010749,1,0010701,0009724
[09:00:25-585757],10749,50,00010750,00010749,1,0010701,0009674
[09:00:25-586981],10749,1,00010750,00010749,1,0010701,0009673
[09:00:25-588205],10749,10,00010750,00010749,1,0010701,0009663
[09:00:25-589356],10749,6,00010750,00010749,1,0010701,0009657
[09:00:25-594504],10749,1,00010750,00010749,1,0010701,0009656
[09:00:25-763689],10749,49,00010749,00010748,1,0010852,0009607
[09:00:31-545503],10748,17,00010749,00010748,1,0011898,0009593
[09:00:32-181015],10748,5,00010749,00010748,1,0012098,0010588
[09:00:37-868417],10748,813,00010748,00010747,1,0012465,0009865
[09:00:37-886095],10747,371,,1 000106,1,, 000108
[09:00:37-887306],10746,100,00010748,00010746,1,0012938,0005734
[09:00:37-903677],10747,3,00010747,00010746,1,0013111,0005734
[09:00:37-915921],10747,173,00010748,00010746,2,0012941,0005734
[09:00:37-924849],10746,100,00010747,00010746,1,0013274,0005634
[09:00:37-937932],10747,6,00010747,00010746,2,0012971,0005634
[09:00:37-947703],10747,1,00010747,00010746,2,0012871,0005538
[09:00:42-828424],10747,1,00010747,00010746,2,0012890,0005601
[09:00:43-011552],10747,73,00010747,00010746,2,0012817,0005601
